Entity,Code,Year,Total number of emigrants
Afghanistan,AFG,1990,7679582
Afghanistan,AFG,1995,4347049
Afghanistan,AFG,2000,4750677
Afghanistan,AFG,2005,4116739
Afghanistan,AFG,2010,5269518
Afghanistan,AFG,2015,5400916
Afghanistan,AFG,2020,5853838
Africa,,1990,20621464
Africa,,1995,22341394
Africa,,2000,22080003
Africa,,2005,25241406
Africa,,2010,29193852
Africa,,2015,35111959
Africa,,2020,40567163
Albania,ALB,1990,180204
Albania,ALB,1995,501066
Albania,ALB,2000,824442
Albania,ALB,2005,966032
Albania,ALB,2010,1117940
Albania,ALB,2015,1142844
Albania,ALB,2020,1250451
Algeria,DZA,1990,921665
Algeria,DZA,1995,979641
Algeria,DZA,2000,1037985
Algeria,DZA,2005,1599647
Algeria,DZA,2010,1655264
Algeria,DZA,2015,1836502
Algeria,DZA,2020,2022337
American Samoa,ASM,1990,2041
American Samoa,ASM,1995,2638
American Samoa,ASM,2000,3186
American Samoa,ASM,2005,2588
American Samoa,ASM,2010,2157
American Samoa,ASM,2015,1961
American Samoa,ASM,2020,1832
Andorra,AND,1990,3740
Andorra,AND,1995,4142
Andorra,AND,2000,5575
Andorra,AND,2005,5727
Andorra,AND,2010,7909
Andorra,AND,2015,8740
Andorra,AND,2020,11132
Angola,AGO,1990,824886
Angola,AGO,1995,688581
Angola,AGO,2000,913206
Angola,AGO,2005,716766
Angola,AGO,2010,651383
Angola,AGO,2015,618288
Angola,AGO,2020,668066
Anguilla,AIA,1990,1832
Anguilla,AIA,1995,2166
Anguilla,AIA,2000,2508
Anguilla,AIA,2005,2425
Anguilla,AIA,2010,2273
Anguilla,AIA,2015,2553
Anguilla,AIA,2020,2505
Antigua and Barbuda,ATG,1990,21382
Antigua and Barbuda,ATG,1995,26965
Antigua and Barbuda,ATG,2000,32782
Antigua and Barbuda,ATG,2005,36398
Antigua and Barbuda,ATG,2010,41347
Antigua and Barbuda,ATG,2015,52189
Antigua and Barbuda,ATG,2020,66561
Argentina,ARG,1990,430155
Argentina,ARG,1995,481968
Argentina,ARG,2000,555542
Argentina,ARG,2005,805291
Argentina,ARG,2010,938639
Argentina,ARG,2015,943843
Argentina,ARG,2020,1076148
Armenia,ARM,1990,899678
Armenia,ARM,1995,901859
Armenia,ARM,2000,877148
Armenia,ARM,2005,900648
Armenia,ARM,2010,917043
Armenia,ARM,2015,944520
Armenia,ARM,2020,958190
Aruba,ABW,1990,5887
Aruba,ABW,1995,6705
Aruba,ABW,2000,7662
Aruba,ABW,2005,9482
Aruba,ABW,2010,13524
Aruba,ABW,2015,16621
Aruba,ABW,2020,21456
Asia,,1990,56957000
Asia,,1995,59147922
Asia,,2000,65333613
Asia,,2005,72806043
Asia,,2010,88122177
Asia,,2015,103378019
Asia,,2020,114911484
Australia,AUS,1990,301013
Australia,AUS,1995,341312
Australia,AUS,2000,381836
Australia,AUS,2005,428769
Australia,AUS,2010,486949
Australia,AUS,2015,518158
Australia,AUS,2020,598765
Australia and New Zealand,,1990,689030
